plant_id,abs_err_model,abs_err_base,improvement
2016_13,184.12883438559757,243.90481717933835,59.77598279374078
2016_2,49.78369751732917,73.0690307603018,23.285333242972627
2016_7,50.54562239749308,73.59422170632618,23.048599308833104
2016_9,31.479990724318373,52.843586767266395,21.36359604294802
2016_18,34.167990207799804,38.33905977945444,4.171069571654634
2016_1,13.296422861530539,15.027568195008707,1.7311453334781675
2016_10,11.442569279107556,12.896656993615785,1.4540877145082298
2016_14,17.43182844820862,17.852547881601858,0.4207194333932378
2016_17,3.3791330238558768,3.650980847359257,0.2718478235033803
2016_3,3.933704732524798,4.153063261752757,0.21935852922795895
2017_23,3.1528415046136993,3.34781847366117,0.19497696904747075
2016_19,3.3711208127207484,3.4621590249564713,0.09103821223572295
2017_21,2.5283432780276236,2.6030935356778055,0.07475025765018195
2017_24,2.923270742978704,2.9290188238727564,0.005748080894052432
2017_26,3.0608829186113633,2.9976623376623377,-0.0632205809490256
2017_27,2.861219860586465,2.7787783452502555,-0.08244151533620947
2017_28,2.861219860586465,2.7787783452502555,-0.08244151533620947
2017_17,2.0132199664078643,1.9084930687290238,-0.10472689767884047
2017_16,1.5621904871452719,1.4564774551291404,-0.10571303201613147
2016_12,4.098699953534891,3.954931514799768,-0.14376843873512302
2017_05,0.9780121168811223,0.8332963665547936,-0.14471575032632877
2017_08,0.879514775059446,0.7253312417919159,-0.1541835332675301
2017_20,2.1786710197895007,1.9670947030497592,-0.21157631673974153
2017_13,1.1979541884380855,0.964902962206333,-0.23305122623175256
2017_01,0.8281435690646864,0.577740405661754,-0.25040316340293245
2017_15,1.6732161913858496,1.4222683496279003,-0.2509478417579494
2017_07,1.026690504390846,0.7476346125784328,-0.2790558918124133
2017_25,3.52396665357613,3.2436214796439518,-0.28034517393217806
2017_04,0.7792886106235268,0.4862994309061725,-0.29298917971735433
2017_02,0.895035323904786,0.5989690646432219,-0.29606625926156416
2017_22,1.7081327219403877,1.402174230264118,-0.30595849167626965
2017_09,1.0314057225125077,0.703973442288049,-0.3274322802244587
2017_10,1.2857349413561336,0.9341375310083175,-0.3515974103478161
2017_06,1.113707498134562,0.7593684517729462,-0.35433904636161584
2016_16,4.541345032670072,4.165789320951828,-0.37555571171824376
2017_11,1.1897947374933813,0.777656938567051,-0.4121377989263303
2017_14,1.3934476130664109,0.979296658397782,-0.41415095466862883
2017_18,1.1490667489013158,0.7188968335035751,-0.43016991539774063
2017_03,0.6212280588995415,0.18915584415584416,-0.4320722147436973
2017_12,1.534150550389688,1.0048971253465635,-0.5292534250431244
2016_6,7.315447990870963,6.650510737086477,-0.664937253784486
2017_19,1.5549731688879342,0.8723004523566321,-0.6826727165313021
2016_5,6.37853350044113,5.455182820661637,-0.9233506797794933
2017_29,7.077120680387236,6.121589085072231,-0.955531595315005
2017_30,12.220696385091427,11.254705968189114,-0.9659904169023132
2016_8,65.43251528929146,63.91062100986651,-1.5218942794249486
2016_11,256.6367840459643,253.93772489843298,-2.6990591475313295
2016_20,46.849943717822676,43.71822402785838,-3.1317196899642923
2016_4,68.79531677942407,56.28311085316309,-12.512205926260982
2016_15,30.28899950081835,16.151131746952988,-14.137867753865361
